"","Propionibacterium","Arthrospira","Lactobacillus","Gluconacetobacter","Tanticharoenia","Massilia","Pseudomonas"
"Acetic.Acid",0.788110406239101,0.906326967174966,-0.428571428571428,0.285714285714286,0.669893845303235,0.591082804679325,-0.07881104062391
"Ethanol",0.197027601559775,-0.15762208124782,0.785714285714285,-0.678571428571428,0.433460723431505,0.591082804679325,0.039405520311955
"Formic.acid",0.248513366402358,0.407561920899866,0.108112495523467,-0.288299988062579,0.0596432079365658,0,-0.477145663492527
"Fructose",-0.374352442963573,-0.492569003899438,0.714285714285714,-0.607142857142857,-0.256135882027708,-0.177324841403798,-0.39405520311955
"Gallic.acid",0.306697807541074,-0.0204465205027383,0.704186850828046,-0.630061919161936,0.449823451060242,0.613395615082148,0.0408930410054765
"Gluconic.acid",0.374352442963573,0.492569003899438,0.0714285714285714,-0.214285714285714,0.256135882027708,0.177324841403798,-0.492569003899438
"Glucose",-0.15762208124782,-0.354649682807595,0.785714285714285,-0.714285714285714,0.15762208124782,0.23643312187173,-0.15762208124782
"Glycine",0.39405520311955,0.669893845303235,-0.571428571428571,0.357142857142857,0.0197027601559775,-0.0985138007798876,-0.197027601559775
"Isobutyric.acid",-0.0596432079365658,-0.497026732804715,0.828862465679914,-0.774806217918181,0.168989089153603,0.387680851587678,0.57655101005347
"Lactic.acid",0.15762208124782,-0.197027601559775,0.857142857142857,-0.785714285714285,0.256135882027708,0.453163483587483,0.039405520311955
"Succinic.acid",0.15762208124782,-0.197027601559775,0.857142857142857,-0.785714285714285,0.256135882027708,0.453163483587483,0.039405520311955
"Sucrose",0.039405520311955,0.47286624374346,-0.75,0.571428571428571,-0.15762208124782,-0.354649682807595,-0.256135882027708
"Tartaric.acid",-0.571380044523348,-0.768407646083123,0.642857142857143,-0.464285714285714,-0.256135882027708,-0.177324841403798,-0.039405520311955
"Total.Sweet",-0.354649682807595,-0.31524416249564,0.571428571428571,-0.607142857142857,-0.295541402339663,-0.256135882027708,-0.354649682807595
"Total.Sour",0.433460723431505,0.15762208124782,0.5,-0.428571428571428,0.610785564835303,0.729002125771168,0.039405520311955
"Total.Tart",0.453163483587483,0.453163483587483,0.214285714285714,-0.321428571428571,0.39405520311955,0.354649682807595,-0.39405520311955
