"","Sensory.Sweet","Sensory.Sour","Sensory.Tart"
"Acetic.Acid",-0.364265034352915,0.32629809239788,0.158555741174221
"Caffeine",0.229538721247198,-0.275250475629174,-0.164182297560356
"Ethanol",-0.0328130584317278,-0.157136182088414,-0.014386595121363
"Formic.acid",0.119871104731128,-0.0544682104647681,0.104970314772218
"Fructose",0.239082930109011,-0.385625018288403,-0.0373687639348366
"Gallic.acid",-0.103659629818848,-0.0526506490821978,0.0323773586595959
"Gluconic.acid",0.108174288616987,-0.0788544179066129,0.0809681818158061
"Glucose",0.192812509144202,-0.343248642652315,-0.0031077471020858
"Glycine",-0.124552185146611,0.269490842896529,0.116623894909005
"Isobutyric.acid",0.250888639871859,-0.171039179931281,-0.109127273986619
"Lactic.acid",0.0235933334622545,-0.242060729478034,0.0409161435538028
"Succinic.acid",0.00406584144616523,-0.239369256971417,0.0497391133753342
"Sucrose",-0.0843518936648081,0.246928286138936,0.082847989819019
"Tartaric.acid",0.320800616639684,-0.357965843379983,-0.170622895775491
"Total.Sweet",0.257522380047958,-0.22803071322014,0.0180249331920976
"Total.Sour",-0.216634904096381,-0.0506225892733811,0.0694770974090693
"Total.Tart",0.119169240133378,-0.0897921040505222,0.045464066142221
