Sample ID,Sample Description,Age (days),2-Hydroxyisobutyrate,2-Hydroxyisovalerate,4-Guanidinobutanoate,Acetic Acid,Arabinose,Caffeine,Citraconate,Citrate,Ethanol,Formic acid,Fructose,Fucose,Fumaric acid,Gallic acid,Gluconic acid,Glucose,Glucuronic acid,Glycerol,Glycine,Isobutyric acid,Lactic acid,Lactose,Propylene glycol,Succinic acid,Sucrose,Tartaric acid,Xylose
1A,Primary,1,0.4,0.4,0.8,441.1,0.0,0.0,0.0,0.0,2499.4,1.8,2692.7,8.2,0.0,3.8,366.7,1912.2,0.0,0.0,886.4,0.7,43.8,48.0,9.2,5.8,34430.7,14.2,14.9
2A,Primary,1,0.3,0.3,0.0,430.8,0.0,0.8,0.0,0.0,1846.9,1.6,2622.2,0.0,0.0,3.7,337.4,2127.0,0.0,0.0,333.7,0.8,36.0,0.0,9.3,5.0,27128.0,12.4,0.0
3A,Primary,1,0.6,0.4,0.0,429.7,0.0,0.3,0.0,0.0,3074.8,1.5,2592.6,0.0,0.0,3.8,413.2,2346.7,0.0,0.0,351.4,0.9,38.8,34.9,11.2,5.4,28028.1,10.3,11.4
4A,Primary,2,0.1,1.0,3.3,583.0,0.0,12.8,0.0,0.4,2727.0,1.2,10472.5,0.0,0.0,5.8,193.5,10834.3,0.0,0.0,348.0,1.6,0.0,175.9,20.2,12.1,11437.0,26.4,0.0
5A,Primary,2,0.0,1.0,0.0,696.2,0.0,0.0,0.0,0.0,2629.2,0.0,6471.0,0.0,0.0,0.0,358.5,6089.8,0.0,0.0,607.1,1.6,72.8,0.0,18.2,13.1,14547.7,12.2,0.0
6A,Primary,2,0.0,1.1,0.0,652.5,0.0,2.0,0.0,0.0,4297.4,1.2,7194.2,17.9,0.0,5.3,309.8,6942.9,0.0,0.0,587.9,1.5,105.2,0.0,18.4,13.4,20590.4,25.5,0.0
7A,Primary,3,0.1,1.0,0.0,719.2,81.3,18.1,0.0,0.0,2476.0,1.2,8776.2,0.0,0.0,5.4,338.4,0.0,0.0,0.0,576.5,1.7,59.1,116.8,17.8,11.5,18554.2,13.2,0.0
8A,Primary,3,0.0,1.0,0.0,542.5,0.0,0.2,0.0,0.0,2608.2,1.0,5183.3,0.0,0.0,6.8,367.8,4792.4,0.0,0.0,661.8,1.4,45.8,0.0,11.2,9.2,22685.4,17.2,0.0
9A,Primary,3,0.0,0.9,0.0,574.3,0.0,14.3,0.0,0.0,3552.7,0.9,5527.8,0.0,0.0,7.1,343.9,5313.1,0.0,0.0,620.0,0.0,56.5,0.0,11.0,9.6,20542.7,15.1,0.0
10A,Primary,4,0.1,1.1,0.0,796.8,0.0,2.6,0.0,0.0,874.4,1.6,8103.1,17.7,0.0,5.0,347.6,6622.0,0.0,0.0,646.7,1.6,145.6,106.7,19.3,19.0,8094.5,38.1,0.0
11A,Primary,4,0.1,1.1,0.0,604.1,0.0,3.6,0.0,0.0,755.6,2.3,7413.5,0.0,0.3,5.1,627.9,2674.9,0.0,0.0,525.7,1.7,105.6,251.6,13.1,14.4,14641.2,17.8,0.0
12A,Primary,4,0.0,1.1,0.0,796.3,0.0,0.3,0.3,0.0,657.8,1.2,5432.4,0.0,0.4,4.7,481.4,4398.7,0.0,0.0,710.2,1.6,69.1,0.0,17.8,12.5,18170.2,8.3,0.0
13A,Primary,5,0.0,1.8,1.5,1038.3,0.0,1.9,0.0,0.0,1346.5,1.1,6544.3,0.0,0.0,4.8,461.8,5631.0,0.0,0.0,607.2,2.1,107.4,0.0,22.4,19.1,15236.4,12.5,0.0
14A,Primary,5,0.1,1.5,0.0,1136.7,114.8,1.0,0.0,0.0,1150.4,1.4,6926.0,19.4,0.0,4.5,633.1,5890.4,0.0,0.0,598.7,2.1,153.3,0.0,21.2,17.6,16217.6,21.7,0.0
15A,Primary,5,0.1,0.0,0.0,1026.9,0.0,12.7,0.0,0.0,1193.9,1.4,7773.8,0.0,0.0,4.9,593.3,6478.5,0.0,0.0,570.8,0.0,114.8,0.0,17.0,18.2,17868.4,26.2,0.0
16A,Primary,6,0.0,1.7,0.0,1199.7,0.0,5.3,0.0,0.0,1485.2,0.8,5892.6,0.0,0.5,5.0,280.8,4274.0,0.0,0.0,725.4,2.2,113.3,0.0,24.8,18.0,17206.1,13.2,0.0
17A,Primary,6,0.1,1.4,0.0,742.7,0.0,0.3,0.0,0.5,1118.2,1.3,6431.7,0.0,0.0,4.7,525.7,5233.9,0.0,0.0,628.8,1.9,108.8,0.0,18.0,14.9,16644.4,12.7,0.0
18A,Primary,6,0.1,1.9,0.0,1141.3,0.0,2.3,0.0,0.0,1532.3,1.1,7004.2,0.0,0.0,5.0,226.9,5839.1,0.0,0.0,651.0,2.1,159.1,0.0,25.7,20.7,14518.4,16.8,0.0
19A,Primary,7,0.3,2.5,0.0,1857.1,0.0,18.3,0.0,0.0,1904.2,1.8,9662.1,26.6,0.0,5.0,842.8,7981.2,0.0,0.0,352.2,2.5,590.9,100.5,38.7,36.8,11958.6,27.1,0.0
20A,Primary,7,0.1,1.9,0.0,1318.9,0.0,19.2,0.0,0.0,1705.1,1.2,7127.6,20.5,0.0,4.8,404.7,5730.9,0.0,0.0,606.8,2.1,220.3,109.7,22.8,21.5,17963.8,12.2,0.0
