Sample ID,Sample Description,Replicate ID,Timepoint (Day),Sample Type,Jar ID,Jar Type,Batch ID,Source,PMAxx?,Study,NMR ID,Amplicon ID,Amplicon ID PMAxx
1A,Primary,1,1,Broth,1,A,42519,Fermentation Batch,x,"Amplicon, NMR",1A.cnx,HA1,HA1C
2A,Primary,2,1,Broth,2,A,42519,Fermentation Batch,x,"Amplicon, NMR",2A.cnx,HA2,HA2C
3A,Primary,3,1,Broth,3,A,42519,Fermentation Batch,x,"Amplicon, NMR",3A.cnx,HA3,HA3C
4A,Primary,1,2,Broth,4,A,42419,Fermentation Batch,x,"Amplicon, NMR",4A.cnx,HA4,HA4C
5A,Primary,2,2,Broth,5,A,42419,Fermentation Batch,x,"Amplicon, NMR",5A.cnx,HA5,HA5C
6A,Primary,3,2,Broth,6,A,42419,Fermentation Batch,x,"Amplicon, NMR",6A.cnx,HA6,HA6C
7A,Primary,1,3,Broth,7,A,42219,Fermentation Batch,x,"Amplicon, NMR",7A.cnx,HA7,HA7C
8A,Primary,2,3,Broth,8,A,42219,Fermentation Batch,x,"Amplicon, NMR",8A.cnx,HA8,HA8C
9A,Primary,3,3,Broth,9,A,42219,Fermentation Batch,x,"Amplicon, NMR",9A.cnx,HA9,HA9C
10A,Primary,1,4,Broth,10,A,41919,Fermentation Batch,,"Amplicon, NMR",10A.cnx,HA10,
11A,Primary,2,4,Broth,11,A,41919,Fermentation Batch,,"Amplicon, NMR",11A.cnx,HA11,
12A,Primary,3,4,Broth,12,A,41919,Fermentation Batch,,"Amplicon, NMR",12A.cnx,HA12,
13A,Primary,1,5,Broth,13,A,41819,Fermentation Batch,,"Amplicon, NMR",13A.cnx,HA13,
14A,Primary,2,5,Broth,14,A,41819,Fermentation Batch,,"Amplicon, NMR",14A.cnx,HA14,
15A,Primary,3,5,Broth,15,A,41819,Fermentation Batch,,"Amplicon, NMR",15A.cnx,HA15,
16A,Primary,1,6,Broth,16,A,41719,Fermentation Batch,,"Amplicon, NMR",16A.cnx,HA16,
17A,Primary,2,6,Broth,17,A,41719,Fermentation Batch,,"Amplicon, NMR",17A.cnx,HA17,
18A,Primary,3,6,Broth,18,A,41719,Fermentation Batch,,"Amplicon, NMR",18A.cnx,HA18,
19A,Primary,1,7,Broth,19,A,41619,Fermentation Batch,,"Amplicon, NMR",19A.cnx,HA19,
20A,Primary,2,7,Broth,20,A,41619,Fermentation Batch,,"Amplicon, NMR",20A.cnx,HA20,
21A,Primary,3,7,Broth,21,A,41619,Fermentation Batch,,"Amplicon, NMR",21A.cnx,HA21,
22A,Primary,1,1,Broth,22,B,42319,Fermentation Batch,,"Amplicon, NMR",22A.cnx,HA22,
23A,Primary,2,1,Broth,23,B,42319,Fermentation Batch,,"Amplicon, NMR",23A.cnx,HA23,
